appid,rank,prev_rank,rank_change
306760,7317,N/A,1875
729000,6905,8779,1874
4211860,7319,N/A,1873
4676570,7321,N/A,1871
224760,4919,6789,1870
4035860,6013,7880,1867
2218970,2666,4532,1866
3983380,5017,6882,1865
621922,7327,N/A,1865
1000715,7329,N/A,1863
3476880,4837,6699,1862
47893,5367,7229,1862
3752050,7276,9138,1862
400490,7332,N/A,1860
1535560,4431,6290,1859
742300,5417,7275,1858
712100,3123,4980,1857
2279440,4797,6653,1856
4943030,7336,N/A,1856
3884150,7337,N/A,1855
2427745,7338,N/A,1854
2113900,6577,8429,1852
3809410,7343,N/A,1849
3081840,7152,8998,1846
37280,7346,N/A,1846
4007140,2916,4759,1843
682990,4543,6384,1841
1235758,7226,9067,1841
1247290,7351,N/A,1841
866570,4921,6760,1839
2591310,6324,8163,1839
2863640,3868,5706,1838
2590150,4632,6470,1838
3022980,4813,6651,1838
3118110,7354,N/A,1838
541300,3864,5701,1837
736590,7355,N/A,1837
1865970,4167,6001,1834
2983250,7359,N/A,1833
3253630,5255,7086,1831
2518950,6908,8735,1827
2702630,5663,7489,1826
3618520,6652,8478,1826
9350,4336,6161,1825
3632890,6526,8350,1824
3004140,7368,N/A,1824
550320,3989,5809,1820
42220,7373,N/A,1819
1492070,867,2681,1814
2315430,7379,N/A,1813
1178160,7380,N/A,1812
1307550,3450,5261,1811
4007740,5918,7726,1808
9200,7385,N/A,1807
3879910,3955,5761,1806
2481810,6125,7930,1805
3642940,7390,N/A,1802
3805420,4520,6319,1799
3216040,7394,N/A,1798
2158250,4484,6280,1796
657280,7396,N/A,1796
1656820,7397,N/A,1795
4282450,7398,N/A,1794
4744900,5949,7741,1792
1857080,3287,5078,1791
704850,3624,5415,1791
2167580,4600,6390,1790
3612850,6119,7909,1790
1839450,3672,5460,1788
1612020,4672,6460,1788
2355150,7406,N/A,1786
1966460,7199,8984,1785
2024410,4054,5838,1784
3052730,4486,6270,1784
2200640,5776,7560,1784
71340,7409,N/A,1783
3406690,7410,N/A,1782
792120,7411,N/A,1781
6020,4893,6673,1780
3198540,6885,8660,1775
2241380,7417,N/A,1775
4063520,6325,8099,1774
3635220,3731,5504,1773
4564200,5086,6857,1771
555220,7421,N/A,1771
295790,7422,N/A,1770
365960,2490,4257,1767
1840080,3848,5615,1767
406550,3312,5077,1765
4078890,3446,5211,1765
2423300,7088,8850,1762
543900,7432,N/A,1760
3623530,7433,N/A,1759
