rank,appid
2037,368070
2038,909660
2039,2138710
2040,1408610
2041,4543600
2042,236110
2043,2779120
2044,1172380
2045,1291340
2046,2027330
2047,2710650
2048,2951990
2049,1200349
2050,850010
2051,4010590
2052,2095420
2053,2768430
2054,3655420
2055,3709430
2056,4397060
2057,2275440
2058,223470
2059,2510710
2060,3862670
2061,1996770
2062,2291060
2063,1259980
2064,4197890
2065,391720
2066,42719
2067,2950340
2068,895400
2069,2967320
2070,32440
2071,694880
2072,1371580
2073,735730
2074,1353300
2075,581450
2076,3646460
2077,244450
2078,3453960
2079,543460
2080,3890520
2081,387020
2082,3014080
2083,1849250
2084,453090
2085,3106720
2086,3983810
2087,4373850
2088,3194360
2089,4348650
2090,342200
2091,2644610
2092,2834910
2093,2318310
2094,3333420
2095,366849
2096,2701860
2097,1874170
2098,2186320
2099,3839310
2100,2019760
2101,337320
2102,1314563
2103,2824380
2104,427100
2105,1875060
2106,2659380
2107,3708030
2108,1532200
2109,2383430
2110,3920680
2111,4084710
2112,346900
2113,1328840
2114,2579670
2115,4042800
2116,3639470
2117,228380
2118,3626760
2119,2302660
2120,1161580
2121,2920570
2122,1009850
2123,12140
2124,3232380
2125,1076080
2126,4764930
2127,397900
2128,2591280
2129,2328760
2130,3618390
2131,2384550
2132,1898300
2133,3181540
2134,2597080
2135,1556790
2136,1042490
2137,2700610
2138,871980
2139,2889700
2140,2640
2141,239160
2142,3799610
2143,1063420
2144,2072450
2145,3146520
2146,2582140
2147,1265920
2148,3985950
2149,1796220
2150,2682670
2151,2358430
2152,1611910
2153,2867570
2154,242550
2155,2190220
2156,488790
2157,4157740
2158,3597580
2159,2999030
2160,3690030
2161,3591040
2162,2292650
2163,1150440
2164,982970
2165,1948980
2166,1967630
2167,3465690
2168,3117820
2169,2459970
2170,2791000
2171,2671060
2172,2908500
2173,1097430
2174,4635190
2175,4111370
2176,1887400
2177,414700
2178,261050
2179,637090
2180,2698780
2181,2701090
2182,403640
2183,1238810
2184,3469800
2185,1552350
2186,1584090
2187,1314820
2188,3606380
2189,444090
2190,962750
2191,420530
2192,3167550
2193,1373960
2194,3030350
2195,2695150
2196,4562150
2197,12130
2198,3024580
2199,2689210
2200,8850
2201,1594940
2202,4395500
2203,870780
2204,3210350
2205,343780
2206,1296610
2207,671970
2208,2561450
2209,3777620
2210,1262580
2211,1534980
2212,4656990
2213,3833760
2214,2084970
2215,1259790
2216,493340
2217,2922530
2218,249130
2219,2853960
2220,3119540
2221,4418930
2222,3902620
